# 3D point list with one line of data per point
#  POINT_ID, X, Y, Z, R, G, B, ERROR
0 -24.363327 -6.235610 -4.121705 255 255 255 0
1 -24.387751 -6.291625 -4.097721 254 255 255 0
2 -24.430031 -5.994032 -3.976898 255 255 255 0
3 -24.344349 -6.891022 -3.877205 255 253 254 0
4 -24.402248 -6.385946 -3.214863 182 169 178 0
5 -24.370832 -6.285380 -3.206181 231 219 228 0
6 -24.697935 -5.993317 -3.181897 255 254 255 0
7 -24.271666 -6.681851 -3.168993 255 255 255 0
8 -24.734789 -5.878404 -3.123176 253 255 255 0
9 -24.682304 -6.177669 -3.099089 252 254 254 0
10 -24.318674 -6.488217 -2.221946 255 255 255 0
11 -24.275673 -6.427458 -2.187490 255 255 255 0
12 -24.292395 -6.313164 -2.125569 255 255 255 0
13 -24.384813 -6.967655 -1.876714 238 218 214 0
14 -24.392406 -6.838336 -1.730068 254 255 255 0
15 -24.321905 -6.419029 -1.707210 255 255 255 0
16 -6.107140 -2.735258 -1.647088 255 255 255 0
17 -6.772816 -2.406653 -1.631065 255 255 255 0
18 -6.231132 -2.685071 -1.621297 255 255 255 0
19 -6.039603 -2.631267 -1.620195 255 255 255 0
20 -6.466290 -2.543531 -1.620720 255 255 255 0
21 -6.391367 -2.544848 -1.623072 255 255 255 0
22 -6.352108 -2.509912 -1.625193 254 254 254 0
23 -6.647744 -2.479119 -1.621477 255 255 255 0
24 -6.751170 -2.416500 -1.620872 255 255 255 0
25 -6.086031 -2.742786 -1.617050 255 255 255 0
26 -6.251107 -2.698600 -1.619028 255 255 255 0
27 -6.672081 -2.487066 -1.619383 255 255 255 0
28 -5.027397 -2.481626 -1.616729 255 254 255 0
29 -4.868515 -2.443583 -1.611368 254 253 254 0
30 -3.972742 -2.282681 -1.611409 254 255 255 0
31 -4.705855 -2.180919 -1.611429 254 254 254 0
32 -4.600592 -2.189703 -1.612115 255 255 255 0
33 -5.065470 -2.082422 -1.615995 255 255 255 0
34 -4.912311 -2.061998 -1.613402 255 255 255 0
35 -6.095119 -2.670840 -1.608261 255 255 255 0
36 -6.394488 -2.636707 -1.608788 254 254 254 0
37 -5.702006 -2.633083 -1.608793 255 255 255 0
38 -6.300513 -2.601899 -1.608158 255 255 255 0
39 -6.405037 -2.543750 -1.603847 255 255 255 0
40 -5.962321 -2.510081 -1.602226 254 254 254 0
41 -5.421064 -2.437797 -1.602381 255 255 255 0
42 -5.359516 -2.427335 -1.602419 255 255 255 0
43 -5.286241 -2.421959 -1.605281 255 255 255 0
44 -6.292068 -2.391527 -1.605478 255 255 255 0
45 -4.552078 -2.382767 -1.602911 255 255 255 0
46 -4.686798 -2.331547 -1.606846 255 255 255 0
47 -5.623856 -2.313601 -1.601077 254 254 254 0
48 -4.492512 -2.315332 -1.605449 255 255 255 0
49 -4.417222 -2.314074 -1.602365 255 255 255 0
50 -4.494453 -2.292465 -1.607749 255 255 255 0
51 -5.452419 -2.281434 -1.601652 255 255 255 0
52 -4.721120 -2.263658 -1.601735 255 255 255 0
53 -4.859317 -2.206390 -1.608881 254 254 254 0
54 -4.644701 -2.183169 -1.606120 255 255 255 0
55 -4.085568 -2.161662 -1.602722 255 255 255 0
56 -4.929297 -2.144840 -1.607028 255 255 255 0
57 -3.934071 -2.138476 -1.602643 255 255 255 0
58 -3.853983 -2.087749 -1.600658 255 255 255 0
59 -3.687615 -2.069650 -1.603306 255 255 255 0
60 -4.002244 -1.973160 -1.604880 255 255 255 0
61 -3.831670 -1.960491 -1.600183 254 254 254 0
62 -4.924715 -2.477826 -1.592188 255 255 255 0
63 -5.102317 -2.357405 -1.593035 255 255 255 0
64 -4.219131 -2.302595 -1.595665 255 255 255 0
65 -5.512766 -2.283331 -1.594479 254 254 254 0
66 -5.276378 -2.231798 -1.590177 254 254 254 0
67 -3.945098 -2.210857 -1.592046 254 254 254 0
68 -4.425663 -2.198606 -1.598316 255 255 255 0
69 -3.740305 -2.144501 -1.598450 255 255 255 0
70 -3.468112 -2.092983 -1.594304 255 255 255 0
71 -4.623643 -2.084509 -1.595195 255 255 255 0
72 -3.869869 -2.032136 -1.596090 255 255 255 0
73 -3.629922 -1.994547 -1.595999 255 255 255 0
74 -2.905906 -1.995553 -1.594367 255 254 255 0
75 -3.463313 -1.964100 -1.596228 255 255 255 0
76 -3.171541 -1.907957 -1.590037 255 255 255 0
77 -4.284610 -2.259331 -1.582527 255 255 255 0
78 -3.668162 -2.218039 -1.589594 255 255 255 0
79 -4.684737 -2.194868 -1.588878 255 255 255 0
80 -4.455491 -2.144047 -1.588818 255 255 255 0
81 -3.670514 -2.149690 -1.584417 255 255 255 0
82 -3.931085 -2.131679 -1.580012 255 255 255 0
83 -3.204230 -2.067333 -1.588699 255 255 255 0
84 -3.167191 -2.047490 -1.583264 255 255 255 0
85 -3.852904 -2.022087 -1.580818 255 255 255 0
86 -4.091133 -2.018161 -1.586346 255 255 255 0
87 -3.091574 -2.006347 -1.582559 255 255 255 0
88 -3.046453 -2.008910 -1.585547 255 254 255 0
89 -3.049803 -1.959170 -1.581778 255 255 255 0
90 -2.917300 -1.949447 -1.580576 255 255 255 0
91 -3.276496 -1.935238 -1.585771 255 255 255 0
92 -3.192290 -1.899059 -1.581102 255 255 255 0
93 -3.004956 -1.894964 -1.586411 255 255 255 0
94 -1.929474 -3.047012 -1.572076 105 87 83 0
95 -3.713037 -2.126527 -1.577854 255 255 255 0
96 -3.745308 -2.094169 -1.578270 255 255 255 0
97 -3.874364 -1.976545 -1.579677 255 255 255 0
98 -3.252439 -1.966706 -1.573231 255 255 255 0
99 -3.079129 -1.958508 -1.571970 255 255 255 0
100 -2.866670 -1.939328 -1.571186 255 255 255 0
101 -2.776556 -1.931131 -1.575509 253 255 252 0
102 -2.808335 -1.920455 -1.576554 255 255 255 0
103 -3.982679 -1.910158 -1.579329 255 255 255 0
